video_id, sentence_id, dep_total_original, dep_total_random, total_words
3, 1, 14, 21, 8
3, 1, 37, 49, 14
3, 1, 51, 45, 14
3, 1, 13, 22, 8
3, 1, 11, 20, 6
3, 1, 13, 24, 7
3, 1, 9, 10, 6
3, 1, 9, 13, 7
3, 1, 13, 13, 7
3, 1, 9, 11, 6
3, 1, 3, 3, 3
3, 1, 30, 53, 12
3, 1, 15, 32, 8
3, 1, 11, 9, 6
3, 1, 36, 59, 13
3, 1, 9, 10, 6
3, 1, 25, 34, 11
3, 1, 24, 36, 11
3, 1, 21, 21, 9
3, 1, 19, 19, 8
3, 1, 21, 24, 9
3, 1, 7, 14, 6
3, 1, 5, 3, 4
3, 1, 20, 27, 9
3, 1, 28, 32, 11
3, 1, 4, 5, 4
3, 1, 7, 10, 5
3, 1, 18, 12, 8
3, 1, 27, 31, 9
3, 1, 4, 7, 4
3, 1, 10, 13, 6
3, 1, 17, 29, 9
3, 1, 17, 17, 8
3, 1, 12, 16, 7
3, 1, 25, 35, 12
3, 1, 11, 20, 6
3, 1, 13, 23, 7
3, 1, 19, 24, 8
3, 1, 7, 9, 5
3, 1, 6, 5, 4
3, 1, 1, 1, 2
3, 1, 15, 15, 8
3, 1, 5, 7, 4
3, 1, 21, 26, 9
3, 1, 29, 30, 11
3, 1, 34, 44, 12
3, 1, 21, 42, 10
3, 1, 4, 6, 4
3, 1, 4, 6, 4
3, 1, 9, 8, 6
3, 1, 17, 10, 8
3, 1, 37, 50, 13
3, 1, 12, 7, 7
3, 1, 21, 37, 11
3, 1, 31, 31, 10
3, 1, 10, 8, 5
3, 1, 14, 13, 7
3, 1, 15, 24, 8
3, 1, 30, 57, 12
3, 1, 36, 76, 16
3, 1, 53, 61, 16
3, 1, 21, 28, 9
3, 1, 26, 31, 11
3, 1, 11, 12, 6
3, 1, 16, 20, 9
3, 1, 24, 34, 10
3, 1, 6, 12, 5
3, 1, 9, 14, 6
3, 1, 9, 17, 6
3, 1, 12, 9, 6
3, 1, 9, 12, 6
3, 1, 5, 3, 4
3, 1, 16, 41, 9
3, 1, 10, 9, 6
3, 1, 24, 30, 10
3, 1, 15, 17, 7
3, 1, 18, 36, 10
3, 1, 25, 53, 12
3, 1, 16, 22, 9
3, 1, 3, 3, 3
3, 1, 4, 5, 4
3, 1, 6, 9, 5
3, 1, 1, 1, 2
3, 1, 1, 1, 1
4, 1, 16, 25, 9
4, 1, 6, 4, 5
4, 1, 4, 5, 4
4, 1, 11, 20, 7
4, 1, 3, 5, 3
4, 1, 2, 3, 3
4, 1, 7, 9, 5
4, 1, 1, 2, 2
4, 1, 6, 5, 4
4, 1, 17, 12, 7
4, 1, 30, 44, 12
4, 1, 13, 12, 7
4, 1, 8, 8, 5
4, 1, 13, 25, 7
4, 1, 5, 3, 5
4, 1, 11, 20, 6
4, 1, 9, 17, 6
4, 1, 11, 16, 6
4, 1, 16, 24, 8
4, 1, 6, 10, 5
4, 1, 7, 11, 5
4, 1, 16, 39, 9
4, 1, 36, 57, 13
4, 1, 7, 8, 5
4, 1, 16, 32, 9
4, 1, 6, 7, 4
4, 1, 12, 20, 7
4, 1, 7, 14, 5
4, 1, 6, 13, 5
4, 1, 14, 22, 8
4, 1, 7, 7, 5
4, 1, 9, 14, 6
4, 1, 20, 22, 9
4, 1, 10, 15, 6
4, 1, 3, 4, 3
4, 1, 4, 6, 4
4, 1, 15, 26, 8
4, 1, 1, 2, 2
4, 1, 1, 1, 1
5, 1, 7, 13, 5
5, 1, 9, 10, 6
