video_id, sentence_id, dep_total_original, dep_total_random, total_words
9, 58, 7, 8, 5
9, 59, 17, 15, 7
9, 63, 6, 9, 6
9, 64, 13, 20, 8
9, 65, 8, 7, 5
9, 70, 22, 20, 8
9, 71, 9, 9, 6
9, 78, 12, 21, 7
9, 79, 9, 12, 6
9, 80, 9, 20, 7
9, 81, 13, 13, 7
9, 82, 21, 28, 10
9, 85, 23, 36, 10
9, 86, 16, 23, 8
9, 87, 21, 50, 10
9, 89, 11, 9, 6
9, 92, 16, 37, 9
9, 102, 6, 11, 5
9, 103, 23, 45, 10
9, 112, 19, 23, 10
9, 114, 10, 9, 5
9, 116, 14, 21, 8
9, 121, 20, 29, 8
10, 3, 14, 13, 8
10, 6, 25, 26, 10
10, 9, 15, 25, 8
10, 12, 13, 17, 7
10, 13, 16, 36, 9
10, 14, 18, 33, 9
10, 15, 12, 23, 7
10, 16, 16, 17, 8
10, 17, 15, 23, 8
10, 18, 16, 22, 8
10, 23, 9, 15, 6
10, 24, 23, 54, 10
10, 25, 16, 22, 8
10, 26, 8, 11, 5
10, 27, 24, 55, 11
10, 28, 24, 27, 11
10, 29, 28, 35, 11
10, 30, 29, 25, 9
10, 31, 10, 15, 6
10, 35, 19, 17, 8
10, 37, 14, 24, 8
10, 38, 14, 23, 8
10, 39, 9, 12, 6
10, 40, 13, 14, 7
10, 42, 33, 45, 11
10, 43, 19, 18, 8
10, 45, 7, 10, 5
10, 46, 10, 17, 6
10, 47, 14, 20, 8
10, 49, 10, 19, 6
10, 50, 10, 18, 6
10, 52, 10, 13, 6
10, 59, 20, 54, 11
10, 61, 14, 22, 8
10, 63, 40, 130, 20
10, 64, 14, 25, 8
10, 66, 8, 9, 5
10, 68, 10, 6, 5
10, 69, 11, 16, 6
10, 70, 13, 18, 6
10, 71, 12, 15, 7
10, 75, 7, 7, 5
10, 76, 16, 34, 9
10, 77, 12, 15, 7
10, 78, 36, 117, 19
10, 80, 9, 9, 6
10, 81, 20, 52, 11
10, 86, 46, 215, 23
10, 87, 12, 18, 7
10, 88, 28, 38, 11
11, 7, 14, 29, 8
11, 13, 52, 79, 17
11, 15, 23, 34, 9
11, 19, 36, 118, 16
11, 21, 16, 22, 8
11, 23, 27, 40, 11
11, 25, 11, 11, 7
11, 30, 25, 58, 12
11, 31, 66, 94, 19
11, 33, 32, 68, 14
11, 34, 32, 62, 13
11, 35, 42, 67, 16
11, 37, 33, 46, 12
11, 39, 45, 46, 14
11, 43, 6, 8, 5
11, 44, 27, 28, 10
11, 46, 6, 7, 5
